filename,width,height,class,xmin,ymin,xmax,ymax,is_tent,target
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,859,738,898,783,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,917,707,962,776,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,945,622,987,678,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,987,713,1037,778,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1174,717,1214,785,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,873,661,923,708,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,834,625,874,661,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,809,657,853,707,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,974,815,1009,856,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1123,732,1167,785,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1180,813,1235,867,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1213,607,1267,654,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1300,390,1373,433,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1378,392,1445,428,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1377,425,1443,457,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1300,431,1353,481,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1495,478,1573,550,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1459,396,1487,431,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1488,396,1520,426,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1226,678,1276,724,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1240,733,1298,776,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1321,685,1370,739,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1393,688,1434,741,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1328,755,1372,795,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1455,843,1495,887,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1492,845,1528,895,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1534,849,1581,907,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1583,768,1626,807,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1526,744,1566,779,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1721,662,1776,718,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1851,763,1895,806,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1615,839,1676,894,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1720,845,1742,880,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1742,849,1769,885,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1767,850,1799,893,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1794,752,1828,798,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1809,554,1854,606,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1905,549,1948,590,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1911,613,1938,640,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,2136,872,2165,905,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,2206,838,2239,888,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,2100,756,2136,796,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,2066,751,2103,795,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,2222,589,2275,630,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,2212,402,2276,461,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1925,845,1954,880,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1765,901,1808,933,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1556,695,1594,737,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,2186,759,2249,810,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1745,760,1779,792,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1102,676,1126,710,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1075,670,1104,707,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,735,241,776,320,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,777,255,817,324,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,814,271,854,322,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,34,449,79,479,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,2038,460,2071,512,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,2077,455,2098,505,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,2101,454,2127,508,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,1940,464,1971,521,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1742,39,1784,77,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1816,38,1859,77,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1886,38,1932,79,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1965,36,2013,79,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,2037,37,2085,78,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1683,40,1722,77,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1634,36,1675,82,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1584,37,1621,78,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1539,43,1570,80,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,truck,1152,234,1227,295,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,building,957,101,1054,175,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,282,237,347,297,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,252,170,308,221,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,224,234,275,287,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,179,177,228,217,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,177,107,228,158,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,172,237,214,284,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,110,149,163,191,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,38,91,86,141,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,building,911,376,1076,540,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,building,743,545,826,654,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,building,566,372,690,547,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,building,728,376,850,545,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,building,646,550,732,653,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,building,1205,477,1284,608,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,building,1850,324,2152,447,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,141,964,216,1026,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,318,1035,395,1116,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tree,397,1085,480,1166,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,dirt road,625,222,683,251,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,dirt road,714,218,789,239,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,dirt road,824,224,883,246,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,dirt road,901,234,960,261,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,dirt road,971,261,1026,291,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,dirt road,553,262,589,283,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,dirt road,513,295,537,332,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,dirt road,482,333,501,375,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1296,1086,1353,1137,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1400,1115,1458,1162,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1309,1198,1371,1241,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1192,1105,1250,1157,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1166,1027,1227,1085,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1052,1118,1104,1167,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1446,1002,1504,1047,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,1497,950,1547,986,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1376,757,1409,798,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1437,757,1471,797,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1646,737,1672,779,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,1612,736,1645,768,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,car,2021,1090,2048,1134,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,car,1872,930,1920,955,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,car,1991,730,2035,759,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,804,937,859,983,0,0
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,grass,566,899,629,961,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,109,209,155,258,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,150,208,198,255,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,193,72,237,110,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,112,118,173,165,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,160,150,205,189,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,160,276,200,324,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,95,271,157,319,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,103,325,142,372,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,170,393,205,454,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,226,406,270,464,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,155,330,207,392,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,75,460,105,485,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,265,451,300,483,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,227,458,265,494,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,176,475,215,504,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,104,481,144,518,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,201,496,231,534,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,504,431,588,503,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,319,598,376,663,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,253,591,330,655,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,239,513,276,555,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,203,585,240,617,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,143,590,198,630,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,59,592,92,639,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,145,522,193,563,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,101,679,159,749,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,49,769,102,801,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,60,735,101,776,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,111,806,165,853,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,202,687,250,732,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,201,617,243,654,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,162,619,198,667,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,122,640,159,683,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,402,665,457,707,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,410,614,465,666,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,459,612,519,667,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,538,719,560,777,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,405,720,448,759,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,454,780,490,833,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,344,754,388,786,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,295,795,349,829,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,200,803,238,835,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,504,688,536,742,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,547,523,588,555,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,591,547,631,601,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,715,477,757,547,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,700,551,758,593,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,771,565,810,603,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,775,602,825,633,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,678,749,723,788,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,607,759,642,788,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,571,788,602,830,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,640,789,678,832,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,571,739,602,787,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,510,893,551,928,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,451,832,491,875,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,615,313,671,361,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,759,232,823,300,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,716,197,763,240,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,628,257,664,315,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,721,358,766,399,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,717,398,783,463,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,824,347,867,381,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,872,261,911,334,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,924,543,990,591,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,630,898,668,933,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,621,838,667,880,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,696,796,745,843,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,686,846,726,876,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,754,631,791,669,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,820,713,883,759,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,834,754,889,792,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,815,828,862,888,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,749,867,793,910,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,901,781,933,828,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,935,691,982,749,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,925,631,988,669,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,857,596,904,664,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,784,517,836,562,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,866,197,908,264,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,tent,935,357,974,404,1,1
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,dirt road,323,9,447,50,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,dirt road,495,6,628,44,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,dirt road,639,9,765,43,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,car,985,435,1009,481,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,car,976,225,1010,274,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,car,992,713,1017,758,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,1128,1013,1250,1120,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,927,1231,1056,1373,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,1120,1246,1224,1379,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,964,988,1079,1101,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,800,1012,895,1191,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,727,1014,801,1170,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,507,1011,577,1138,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,587,1006,662,1143,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,377,1010,440,1130,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,442,1007,516,1196,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,1471,1009,1563,1165,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,1488,692,1587,926,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,27,998,136,1157,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,215,1002,288,1135,0,0
Legoane Haiti 2010 earthq w:lat and long from google earth 1-24-2010.png,0,0,building,29,1260,189,1354,0,0
image_7.png,2358,1350,tent,633,564,709,629,1,1
image_7.png,2358,1350,tent,663,290,711,346,1,1
image_7.png,2358,1350,tent,622,116,671,187,1,1
image_7.png,2358,1350,tent,667,116,704,187,1,1
image_7.png,2358,1350,tent,783,196,837,245,1,1
image_7.png,2358,1350,tent,623,190,678,255,1,1
image_7.png,2358,1350,tent,937,241,988,288,1,1
image_7.png,2358,1350,tent,971,199,1009,232,1,1
image_7.png,2358,1350,tent,1044,145,1087,187,1,1
image_7.png,2358,1350,tent,1092,185,1156,230,1,1
image_7.png,2358,1350,tent,1097,128,1154,190,1,1
image_7.png,2358,1350,tent,1048,366,1122,419,1,1
image_7.png,2358,1350,tent,1043,321,1107,366,1,1
image_7.png,2358,1350,tent,963,309,1013,370,1,1
image_7.png,2358,1350,tent,797,345,846,396,1,1
image_7.png,2358,1350,tent,797,305,840,345,1,1
image_7.png,2358,1350,tent,796,238,833,300,1,1
image_7.png,2358,1350,tent,879,131,928,205,1,1
image_7.png,2358,1350,tent,1139,343,1185,416,1,1
